Epoch,Unfiltered,Training Loss,Consistency,Epoch Time,Test Loss,Validation Loss
epoch:  0 , unfiltered:  1.11e-02 , train loss:  1.11e-02 , consistency:  1.000003e+00 , epoch_time =  2.241339683532715 , test loss:  1.31e-02 , validation loss:  1.32e-02  ***\
epoch:  1 , unfiltered:  1.11e-02 , train loss:  1.10e-02 , consistency:  9.999998e-01 , epoch_time =  0.911940336227417 , test loss:  1.30e-02 , validation loss:  1.31e-02  ***\
epoch:  2 , unfiltered:  1.11e-02 , train loss:  1.09e-02 , consistency:  9.999976e-01 , epoch_time =  0.8119466304779053 , test loss:  1.28e-02 , validation loss:  1.30e-02  ***\
epoch:  3 , unfiltered:  1.11e-02 , train loss:  1.08e-02 , consistency:  1.000003e+00 , epoch_time =  0.6442904472351074 , test loss:  1.24e-02 , validation loss:  1.25e-02  ***\
epoch:  4 , unfiltered:  1.11e-02 , train loss:  1.06e-02 , consistency:  9.999974e-01 , epoch_time =  0.6483902931213379 , test loss:  1.17e-02 , validation loss:  1.18e-02  ***\
epoch:  5 , unfiltered:  1.11e-02 , train loss:  1.03e-02 , consistency:  9.999905e-01 , epoch_time =  0.7957417964935303 , test loss:  1.18e-02 , validation loss:  1.18e-02\
epoch:  6 , unfiltered:  1.11e-02 , train loss:  1.02e-02 , consistency:  1.000009e+00 , epoch_time =  0.6246128082275391 , test loss:  1.15e-02 , validation loss:  1.15e-02  ***\
epoch:  7 , unfiltered:  1.11e-02 , train loss:  1.00e-02 , consistency:  9.999976e-01 , epoch_time =  0.6498475074768066 , test loss:  1.12e-02 , validation loss:  1.13e-02  ***\
epoch:  8 , unfiltered:  1.11e-02 , train loss:  9.77e-03 , consistency:  1.000003e+00 , epoch_time =  0.9571001529693604 , test loss:  1.08e-02 , validation loss:  1.09e-02  ***\
epoch:  9 , unfiltered:  1.11e-02 , train loss:  9.41e-03 , consistency:  9.999974e-01 , epoch_time =  1.4519710540771484 , test loss:  1.06e-02 , validation loss:  1.07e-02  ***\
epoch:  10 , unfiltered:  1.11e-02 , train loss:  9.02e-03 , consistency:  1.000002e+00 , epoch_time =  0.6431643962860107 , test loss:  1.04e-02 , validation loss:  1.05e-02  ***\
epoch:  11 , unfiltered:  1.11e-02 , train loss:  8.56e-03 , consistency:  9.999999e-01 , epoch_time =  0.645639181137085 , test loss:  1.05e-02 , validation loss:  1.05e-02  ***\
epoch:  12 , unfiltered:  1.11e-02 , train loss:  8.03e-03 , consistency:  1.000009e+00 , epoch_time =  0.6413321495056152 , test loss:  1.01e-02 , validation loss:  1.00e-02  ***\
epoch:  13 , unfiltered:  1.11e-02 , train loss:  7.44e-03 , consistency:  1.000003e+00 , epoch_time =  0.9844105243682861 , test loss:  9.60e-03 , validation loss:  9.60e-03  ***\
epoch:  14 , unfiltered:  1.11e-02 , train loss:  6.87e-03 , consistency:  9.999999e-01 , epoch_time =  0.9473822116851807 , test loss:  9.10e-03 , validation loss:  9.18e-03  ***\
epoch:  15 , unfiltered:  1.11e-02 , train loss:  6.40e-03 , consistency:  9.999904e-01 , epoch_time =  0.6500511169433594 , test loss:  8.68e-03 , validation loss:  8.79e-03  ***\
epoch:  16 , unfiltered:  1.11e-02 , train loss:  5.99e-03 , consistency:  9.999970e-01 , epoch_time =  0.6468629837036133 , test loss:  8.47e-03 , validation loss:  8.58e-03  ***\
epoch:  17 , unfiltered:  1.11e-02 , train loss:  5.68e-03 , consistency:  9.999899e-01 , epoch_time =  0.6253330707550049 , test loss:  8.10e-03 , validation loss:  8.24e-03  ***\
epoch:  18 , unfiltered:  1.11e-02 , train loss:  5.40e-03 , consistency:  1.000012e+00 , epoch_time =  0.6391322612762451 , test loss:  7.84e-03 , validation loss:  8.04e-03  ***\
epoch:  19 , unfiltered:  1.11e-02 , train loss:  5.12e-03 , consistency:  9.999992e-01 , epoch_time =  0.9068615436553955 , test loss:  7.82e-03 , validation loss:  7.99e-03  ***\
epoch:  20 , unfiltered:  1.11e-02 , train loss:  5.06e-03 , consistency:  1.000000e+00 , epoch_time =  0.8901798725128174 , test loss:  7.62e-03 , validation loss:  7.87e-03  ***\
epoch:  21 , unfiltered:  1.11e-02 , train loss:  4.80e-03 , consistency:  9.999968e-01 , epoch_time =  0.6517689228057861 , test loss:  7.38e-03 , validation loss:  7.83e-03  ***\
epoch:  22 , unfiltered:  1.11e-02 , train loss:  4.72e-03 , consistency:  1.000003e+00 , epoch_time =  0.9141542911529541 , test loss:  7.41e-03 , validation loss:  7.66e-03  ***\
